[tree_debug] input(dx=1.3,dy=1.3,dz=1.4,fp_max=1.3,fp_min=1.3,square=1.0,pts=82) -> tree_label=boat
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.8,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.1,fp_max=1.8,fp_min=1.8,square=1.0,pts=2495) -> tree_label2=pillar
[tree_debug] input(dx=1.3,dy=1.4,dz=1.4,fp_max=1.4,fp_min=1.3,square=1.0,pts=89) -> tree_label=boat
[tree_debug2] input(dx=1.9,dy=1.6,dz=6.3,fp_max=1.9,fp_min=1.6,square=0.9,pts=2663) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.7,pts=319) -> tree_label2=pillar
[tree_debug] input(dx=1.4,dy=1.2,dz=1.2,fp_max=1.4,fp_min=1.2,square=0.9,pts=113) -> tree_label=boat
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2495) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2494) -> tree_label2=pillar
[tree_debug] input(dx=1.5,dy=1.3,dz=1.3,fp_max=1.5,fp_min=1.3,square=0.9,pts=93) -> tree_label=boat
[tree_debug] input(dx=1.4,dy=1.2,dz=1.2,fp_max=1.4,fp_min=1.2,square=0.8,pts=118) -> tree_label=boat
[tree_debug2] input(dx=1.5,dy=1.9,dz=5.7,fp_max=1.9,fp_min=1.5,square=0.8,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.6,dz=6.3,fp_max=1.8,fp_min=1.6,square=0.9,pts=2663) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug] input(dx=1.4,dy=1.3,dz=1.2,fp_max=1.4,fp_min=1.3,square=0.9,pts=87) -> tree_label=boat
[tree_debug2] input(dx=1.9,dy=1.7,dz=6.3,fp_max=1.9,fp_min=1.7,square=0.9,pts=2664) -> tree_label2=pillar
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.8,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug] input(dx=1.4,dy=1.2,dz=1.2,fp_max=1.4,fp_min=1.2,square=0.9,pts=115) -> tree_label=boat
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2494) -> tree_label2=pillar
[tree_debug] input(dx=1.3,dy=1.1,dz=1.4,fp_max=1.3,fp_min=1.1,square=0.9,pts=95) -> tree_label=boat
[tree_debug] input(dx=1.4,dy=1.1,dz=1.3,fp_max=1.4,fp_min=1.1,square=0.8,pts=88) -> tree_label=boat
[tree_debug2] input(dx=1.9,dy=1.6,dz=6.3,fp_max=1.9,fp_min=1.6,square=0.9,pts=2663) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.7,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2494) -> tree_label2=pillar
[tree_debug2] input(dx=1.9,dy=1.6,dz=6.3,fp_max=1.9,fp_min=1.6,square=0.9,pts=2663) -> tree_label2=pillar
[tree_debug] input(dx=1.4,dy=1.2,dz=1.6,fp_max=1.4,fp_min=1.2,square=0.9,pts=95) -> tree_label=boat
[tree_debug] input(dx=1.4,dy=1.3,dz=1.2,fp_max=1.4,fp_min=1.3,square=0.9,pts=81) -> tree_label=boat
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2494) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=1.0,pts=919) -> tree_label2=pillar
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.8,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=1.0,pts=919) -> tree_label2=pillar
[tree_debug] input(dx=1.2,dy=1.3,dz=1.6,fp_max=1.3,fp_min=1.2,square=0.9,pts=88) -> tree_label=boat
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.8,pts=319) -> tree_label2=pillar
[tree_debug] input(dx=1.4,dy=1.3,dz=1.2,fp_max=1.4,fp_min=1.3,square=1.0,pts=90) -> tree_label=boat
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2494) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.6,dz=6.3,fp_max=1.8,fp_min=1.6,square=0.9,pts=2663) -> tree_label2=pillar
[tree_debug2] input(dx=1.9,dy=1.6,dz=6.3,fp_max=1.9,fp_min=1.6,square=0.9,pts=2663) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug] input(dx=1.6,dy=1.4,dz=1.2,fp_max=1.6,fp_min=1.4,square=0.9,pts=90) -> tree_label=boat
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.8,pts=319) -> tree_label2=pillar
[tree_debug] input(dx=1.2,dy=1.3,dz=1.4,fp_max=1.3,fp_min=1.2,square=0.9,pts=87) -> tree_label=boat
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2495) -> tree_label2=pillar
[tree_debug] input(dx=1.6,dy=1.2,dz=1.4,fp_max=1.6,fp_min=1.2,square=0.8,pts=184) -> tree_label=boat
[tree_debug] input(dx=1.3,dy=1.2,dz=1.3,fp_max=1.3,fp_min=1.2,square=1.0,pts=98) -> tree_label=boat
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2494) -> tree_label2=pillar
[tree_debug2] input(dx=1.9,dy=1.6,dz=6.3,fp_max=1.9,fp_min=1.6,square=0.9,pts=2662) -> tree_label2=pillar
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.8,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug] input(dx=1.5,dy=1.3,dz=1.4,fp_max=1.5,fp_min=1.3,square=0.9,pts=91) -> tree_label=boat
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2493) -> tree_label2=pillar
[tree_debug] input(dx=1.5,dy=1.3,dz=1.4,fp_max=1.5,fp_min=1.3,square=0.9,pts=88) -> tree_label=boat
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug] input(dx=1.3,dy=1.2,dz=1.3,fp_max=1.3,fp_min=1.2,square=0.9,pts=108) -> tree_label=boat
[tree_debug] input(dx=1.7,dy=1.3,dz=1.4,fp_max=1.7,fp_min=1.3,square=0.8,pts=172) -> tree_label=boat
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.8,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.9,dy=1.6,dz=6.3,fp_max=1.9,fp_min=1.6,square=0.9,pts=2662) -> tree_label2=pillar
[tree_debug] input(dx=1.4,dy=1.0,dz=1.4,fp_max=1.4,fp_min=1.0,square=0.7,pts=85) -> tree_label=boat
[tree_debug] input(dx=1.7,dy=1.2,dz=1.4,fp_max=1.7,fp_min=1.2,square=0.7,pts=168) -> tree_label=boat
[tree_debug2] input(dx=1.9,dy=1.6,dz=6.3,fp_max=1.9,fp_min=1.6,square=0.9,pts=2662) -> tree_label2=pillar
[tree_debug] input(dx=1.3,dy=1.3,dz=1.2,fp_max=1.3,fp_min=1.3,square=1.0,pts=118) -> tree_label=boat
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.7,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2493) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug2] input(dx=1.9,dy=1.6,dz=6.3,fp_max=1.9,fp_min=1.6,square=0.9,pts=2662) -> tree_label2=pillar
[tree_debug] input(dx=1.4,dy=1.3,dz=1.4,fp_max=1.4,fp_min=1.3,square=0.9,pts=169) -> tree_label=boat
[tree_debug] input(dx=1.3,dy=1.3,dz=1.4,fp_max=1.3,fp_min=1.3,square=1.0,pts=119) -> tree_label=boat
[tree_debug] input(dx=1.4,dy=0.9,dz=1.4,fp_max=1.4,fp_min=0.9,square=0.7,pts=84) -> tree_label=boat
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2493) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2493) -> tree_label2=pillar
[tree_debug] input(dx=1.4,dy=1.2,dz=1.4,fp_max=1.4,fp_min=1.2,square=0.8,pts=159) -> tree_label=boat
[tree_debug] input(dx=1.4,dy=1.3,dz=1.3,fp_max=1.4,fp_min=1.3,square=0.9,pts=123) -> tree_label=boat
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=1.0,pts=919) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.6,dz=6.3,fp_max=1.8,fp_min=1.6,square=0.9,pts=2664) -> tree_label2=pillar
[tree_debug] input(dx=1.4,dy=1.0,dz=1.4,fp_max=1.4,fp_min=1.0,square=0.7,pts=88) -> tree_label=boat
[tree_debug2] input(dx=1.5,dy=1.9,dz=5.7,fp_max=1.9,fp_min=1.5,square=0.8,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.6,dz=6.3,fp_max=1.8,fp_min=1.6,square=0.9,pts=2660) -> tree_label2=pillar
[tree_debug] input(dx=1.5,dy=1.0,dz=1.1,fp_max=1.5,fp_min=1.0,square=0.7,pts=87) -> tree_label=boat
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.7,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug] input(dx=1.4,dy=1.2,dz=1.4,fp_max=1.4,fp_min=1.2,square=0.9,pts=160) -> tree_label=boat
[tree_debug] input(dx=1.4,dy=1.3,dz=1.3,fp_max=1.4,fp_min=1.3,square=1.0,pts=118) -> tree_label=boat
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2494) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2494) -> tree_label2=pillar
[tree_debug] input(dx=1.7,dy=1.3,dz=1.4,fp_max=1.7,fp_min=1.3,square=0.8,pts=151) -> tree_label=boat
[tree_debug] input(dx=1.4,dy=1.3,dz=1.3,fp_max=1.4,fp_min=1.3,square=1.0,pts=127) -> tree_label=boat
[tree_debug] input(dx=1.5,dy=1.0,dz=1.2,fp_max=1.5,fp_min=1.0,square=0.7,pts=90) -> tree_label=boat
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.8,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug2] input(dx=1.9,dy=1.6,dz=6.3,fp_max=1.9,fp_min=1.6,square=0.9,pts=2661) -> tree_label2=pillar
[tree_debug2] input(dx=1.9,dy=1.6,dz=6.3,fp_max=1.9,fp_min=1.6,square=0.9,pts=2662) -> tree_label2=pillar
[tree_debug] input(dx=1.6,dy=1.3,dz=1.5,fp_max=1.6,fp_min=1.3,square=0.8,pts=150) -> tree_label=boat
[tree_debug] input(dx=1.4,dy=1.3,dz=1.2,fp_max=1.4,fp_min=1.3,square=1.0,pts=126) -> tree_label=boat
[tree_debug] input(dx=1.5,dy=1.0,dz=1.2,fp_max=1.5,fp_min=1.0,square=0.7,pts=90) -> tree_label=boat
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=1.0,pts=919) -> tree_label2=pillar
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.8,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2494) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2496) -> tree_label2=pillar
[tree_debug] input(dx=1.5,dy=1.0,dz=1.4,fp_max=1.5,fp_min=1.0,square=0.6,pts=86) -> tree_label=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.7,pts=319) -> tree_label2=pillar
[tree_debug] input(dx=1.6,dy=1.2,dz=1.5,fp_max=1.6,fp_min=1.2,square=0.7,pts=165) -> tree_label=boat
[tree_debug] input(dx=1.4,dy=1.3,dz=1.3,fp_max=1.4,fp_min=1.3,square=0.9,pts=123) -> tree_label=boat
[tree_debug2] input(dx=1.8,dy=1.7,dz=6.3,fp_max=1.8,fp_min=1.7,square=0.9,pts=2664) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2495) -> tree_label2=pillar
